cluster_id	Amplitude
0	13.9
1	17.4
2	14.6
3	10.0
4	12.7
5	13.6
6	15.0
7	11.2
8	12.7
9	19.5
10	14.5
11	12.3
12	11.1
13	9.9
14	11.2
15	13.5
16	13.5
17	10.8
18	21.6
19	13.9
20	15.4
21	13.3
22	16.1
23	13.0
24	13.0
25	12.8
26	12.7
27	9.4
28	9.2
29	9.3
30	21.5
31	26.8
32	16.3
33	24.7
34	11.1
35	18.2
36	11.7
37	11.8
38	20.3
39	10.6
40	9.5
41	5.3
42	10.3
43	9.7
44	10.4
45	10.1
46	11.9
47	10.9
48	12.1
49	13.1
50	16.2
51	17.1
52	17.0
53	14.7
54	13.7
55	14.6
56	13.8
57	18.8
58	14.0
59	16.1
60	9.9
61	10.7
62	9.7
63	9.8
64	11.7
65	15.2
66	12.8
67	13.5
68	9.7
69	10.1
70	16.6
71	11.6
72	14.4
73	12.1
74	14.4
75	13.8
76	12.3
77	10.9
78	25.4
79	12.6
80	11.9
81	13.6
82	13.8
83	10.5
84	9.9
85	13.3
